obs_code,program_code,band,astcat,n_objects,n_obs,bias_ra_arcsec,bias_ra_ci_low,bias_ra_ci_high,bias_dec_arcsec,bias_dec_ci_low,bias_dec_ci_high,bias_at_arcsec,bias_at_ci_low,bias_at_ci_high,bias_ct_arcsec,bias_ct_ci_low,bias_ct_ci_high,bias_ra_median_arcsec,bias_ra_median_ci_low,bias_ra_median_ci_high,bias_dec_median_arcsec,bias_dec_median_ci_low,bias_dec_median_ci_high,bias_at_median_arcsec,bias_at_median_ci_low,bias_at_median_ci_high,bias_ct_median_arcsec,bias_ct_median_ci_low,bias_ct_median_ci_high,rms_ra_arcsec,rms_ra_ci_low,rms_ra_ci_high,rms_dec_arcsec,rms_dec_ci_low,rms_dec_ci_high,rms_at_arcsec,rms_at_ci_low,rms_at_ci_high,rms_ct_arcsec,rms_ct_ci_low,rms_ct_ci_high,sem_ra_arcsec,sem_dec_arcsec,sem_at_arcsec,sem_ct_arcsec,resid_var_ra,resid_var_dec,resid_cov_ra_dec,resid_cov_n,resid_var_at,resid_var_ct,resid_cov_at_ct,chi2_per_obs,bias_significant,confidence_score,high_confidence,sigma_model_source,obs_epoch_start,obs_epoch_end
006,,,,71,1404,-0.05639202068139962,-0.09095011092904766,-0.02302135235585209,0.08937140990321044,0.03763307988621375,0.14592685398428676,0.04199851364720529,0.003319614815912155,0.08803590596552018,0.06143345099452867,0.017437569751520405,0.10970624065357654,-0.06334736828102681,-0.09710097543579342,-0.028589086947883,0.04145853569887947,0.0205090008175576,0.07484906596495478,0.02306662472606242,-0.0008046249424043805,0.05993432854371126,0.030420391530256892,0.013335563968154628,0.055884560630119345,0.2974331540087419,0.2693198053991916,0.32504036537113706,0.3169614571029367,0.277326922049384,0.3640531520776699,0.3091011392311736,0.2765430840376088,0.34693269539165,0.31023544977349854,0.2764784847443196,0.3451869927835858,0.01775440610211775,0.028317108686539073,0.021946570639045263,0.023974323462838475,0.08635402585833057,0.09694013067040196,-0.0031759716509424255,1404.0,0.09804317761570448,0.09129670830479976,0.004704551855584503,2.654203896217879,True,0.9435066685612392,True,0.0,57809.86306,61144.8448
006,,R,,71,1347,-0.055290509351525956,-0.0907962580142258,-0.021140054866425756,0.0890247818701802,0.033863983320430766,0.14753427421702942,0.04343263738427559,0.0012995712801684982,0.0889791705608568,0.061625041980657186,0.018474713022280063,0.11004988263389312,-0.06334736828102681,-0.09712265649901665,-0.019329643665746445,0.040322861902595264,0.017496060692501203,0.07484906596495478,0.029622103592411592,-0.0008046249424043805,0.05993432854371126,0.030420391530256892,0.013335563968154628,0.0508018341963771,0.29790962720372527,0.27094046094802443,0.3268666092565969,0.3148883015410595,0.27419262870419503,0.36151933560673394,0.30882573823073717,0.2746563746098457,0.34692950997070776,0.30964290304219005,0.27581372559033046,0.3443399955361974,0.01780493496624821,0.028304261887149528,0.021907783968878217,0.023929335411677067,0.08715525085677203,0.09908656084872311,-0.0033695194513320256,1347.0,0.09914688115747072,0.09303516760254571,0.00486577769299052,2.6494303082179473,True,0.9413056594779851,True,0.0,57809.86306,61144.8448
006,,UNK,,3,57,-0.020016294755295958,-0.12269904491900614,0.05548811284813606,0.00525358593180796,-0.12840411851357203,0.09862679382111904,-0.05732255169573746,-0.11912808198259224,-0.00762972286803656,-0.02189062403613999,-0.1399919321822645,0.10368322994994544,0.007162047804982218,-0.12269904491900616,0.05548811284813606,0.04553808248787688,-0.12840411851357203,0.09862679382111904,-0.045209850236583575,-0.11912808198259224,-0.0076297228680365595,-0.029363169876100922,-0.1399919321822645,0.10368322994994544,0.2847335014686452,0.220553069827175,0.35037885288384546,0.2506404493597429,0.19882205904578695,0.33791896200649024,0.30121117388373414,0.18249872479536614,0.4409938240733515,0.21986012331068439,0.20610437297860792,0.23423937162966926,0.05320295269539709,0.0685635697387529,0.03275163697582431,0.07044211658290193,0.06727035914942157,0.04619859211328589,0.0014497417558458803,57.0,0.06232883088936343,0.050210583047751195,0.0007086506339921527,1.672859613777833,False,0.43424795528530713,False,0.0,57941.9341,58009.81527
033,,,,1276,7865,-0.011200135332047004,-0.02450448167359206,0.002221224745122147,0.018653453808214208,0.006139070495833422,0.030987969253776063,0.042304769854518656,0.028317212680905007,0.05616231419755118,0.01116369706572356,-0.0009405816028300595,0.022774297017582594,-0.009239633032495196,-0.016909418206513586,0.0025508139831850107,0.031566572713792596,0.022447318410456774,0.045630807904313266,0.031587043709577003,0.01816362477296455,0.04248142208811118,0.0053445727175933325,-0.005324607959337688,0.0152343115367138,0.2794617354962079,0.27029695158465417,0.2883996067421458,0.27219541941634484,0.26337814496485806,0.28131640015310844,0.289131327363376,0.2796374953647779,0.2995341719543633,0.25709084995395926,0.2482171815379551,0.26595924829189327,0.006851519522409906,0.006612197029834902,0.007033185024941781,0.00623825737532502,0.09316424059391874,0.08993487754665279,0.008783421819905705,7865.0,0.10048999719180962,0.08144256738626525,0.001987672585590226,7.506537944200461,True,0.9807825651395357,True,0.4972663699936427,57754.15473,61153.12405
033,,G,,25,83,0.030197102417640734,-0.028915465663565763,0.09215097445833363,0.13012294917199654,0.06209314245827919,0.21607679548865028,-0.015403788408661055,-0.08521356666298974,0.04665906378199614,-0.03198892731611468,-0.1206384063579439,0.047432580044655885,0.014501177045919767,-0.01435968753928817,0.05168267778498007,0.07967322416106981,0.02687620385017908,0.17366254849520146,-0.01916686694594742,-0.05401140221161219,0.04208114573286167,-0.025345736565387023,-0.04437761141437421,0.059331972141003574,0.16544950158194843,0.10803088980654943,0.2335357479141115,0.21397911827427232,0.14962771831270288,0.2913044164055376,0.18284069617892765,0.13365232608863328,0.24195529537078939,0.1910497639443193,0.1203382898740749,0.27532312016348676,0.030971172013281832,0.039941695461829574,0.03528576312308836,0.04525512926799498,0.05854248513501437,0.05111751145086788,0.02758553702919985,83.0,0.04827769177533977,0.07551835349196628,0.01701115625319052,6.27096606482424,True,0.5668967736391126,True,0.07228915662650602,59843.91837,61060.7622337963
033,,Gr,,728,3905,0.0014630463025669537,-0.01822541471864072,0.021065467964336785,0.023607095732171665,0.004569113541743894,0.04286172792607511,0.05899890597870004,0.03943430453476661,0.07771346931522181,0.005990125020515958,-0.011088331560309255,0.0227378812442179,-0.009627773408248191,-0.026465815619814044,0.006303776009064779,0.035392372597442545,0.022427348201503605,0.051115633044673814,0.045721996667548066,0.03052935110101905,0.06233402831195997,0.006255070477651491,-0.013471694950655016,0.02088640927078487,0.29592599002260433,0.2823043592022937,0.3094838599558874,0.288952466336367,0.2764576339412942,0.30246710756237055,0.3098644050212631,0.2961287669580734,0.32367228667349063,0.26876164949010856,0.2559318448232771,0.2816977451662319,0.009630821642645027,0.009453357989684118,0.010100280786801388,0.008651275089838144,0.10426811544520079,0.10194054144530101,0.002038753683363757,3905.0,0.1142265958932905,0.08911236898717441,0.00012550329042945008,8.920528710791684,True,0.9728287717564378,True,1.0,60635.707559953706,61153.12405
033,,V,,541,3861,-0.02890720058747351,-0.04907885082895969,-0.008919173083565005,0.0023919454818466883,-0.016113289452980645,0.020019284437623536,0.022831384966680312,0.003823876511042705,0.04324212782087459,0.019236642343856226,0.001900729154385756,0.03604459256321051,-0.0096554456649064,-0.027220566892774762,0.005209529011103897,0.023026654618263365,0.008137340661562575,0.04152337265068695,0.016100457732286064,-0.002077631645525897,0.032521203695362794,0.006648116027391218,-0.006361774221751559,0.024512018900914017,0.2633137604016673,0.25072834144127687,0.27733972221108766,0.2539330075462683,0.24210228681384974,0.26542949438874053,0.2676626718887182,0.25464150465413427,0.2818239367789982,0.24464241416146484,0.2324437114680133,0.25641010594619007,0.009937869525469295,0.009291014885637636,0.00992973598759412,0.009059193102095223,0.0819957288937185,0.07823519259040494,0.014486032873371696,3861.0,0.0872428787788495,0.0739584561915722,0.00355331057289322,5.8394659061377485,True,0.9704620304787697,True,0.0,57754.15473,61061.02674
046,,,,31,285,-0.05770960413476362,-0.1410493963119999,0.02898163693895621,0.005292611398879928,-0.060708134170706834,0.06722030721027647,-0.058468984732711754,-0.12767164303847367,0.008019716406041936,0.054831685674010804,-0.0222745338318411,0.13043142006438846,-0.04047925425867591,-0.11072556405544311,-0.01621122223228687,0.02276670261868016,-0.024392618029216755,0.09964217662172814,-0.04955043169071273,-0.10893506843575033,0.004605832228974129,0.061023664632867035,0.010382766979759123,0.1161728095729546,0.40042917628857,0.32567220938363184,0.47388273528094327,0.37687058101397497,0.3112930249408746,0.44420860873885104,0.38315930973559875,0.3135816815212709,0.45274870355745983,0.39532703381237994,0.32372571110359505,0.4718099165028221,0.04412710988680183,0.03370464456842573,0.034993528400578136,0.0398589962798375,0.1814011753059846,0.17337840326862175,0.004251754141351869,285.0,0.16368215580413148,0.18919959587054663,0.022605340745327353,4.29674862465174,False,0.8864153333032035,True,0.0,57780.91804,58227.97197
056,,,,4,368,-0.11340205057941374,-0.29050954900273895,0.07822535935549646,0.02852705111029291,-0.2559699969357664,0.21673983090184307,0.08220555836592731,-0.19062943761147927,0.25114855727129903,0.035987317278701476,-0.11115272432904935,0.261347013637281,-0.1279219620909987,-0.354923395641561,0.15715911750590345,0.12854684724921128,-0.4000862849010006,0.2571007948437497,0.13037992907231943,-0.29588279304702075,0.36394516836609114,-0.05128208028613872,-0.1320383035364932,0.37855173322357655,0.3611179858025194,0.28547193319832564,0.4603795970763517,0.41323165006995083,0.23736093979864398,0.7038070498634259,0.42632182671836116,0.3089411137912605,0.5470694320249404,0.382785354997486,0.2666238450239994,0.5678648669014597,0.10560811645203555,0.1473485300202703,0.137545343920959,0.11685266877037095,0.07005960362149678,0.48991509929492283,0.11177894358070006,368.0,0.2459005233191687,0.28525519321208215,-0.1372159603641112,4.6777257590231285,False,0.8111319436901311,True,0.024456521739130436,59144.78674,60181.01436342593
056,,V,,4,368,-0.11340205057941374,-0.29050954900273895,0.07822535935549646,0.02852705111029291,-0.2559699969357664,0.21673983090184307,0.08220555836592731,-0.18800478742289217,0.3042415334483547,0.035987317278701476,-0.11115272432904935,0.261347013637281,-0.1279219620909987,-0.354923395641561,0.15715911750590345,0.12854684724921128,-0.4000862849010006,0.2571007948437497,0.13037992907231943,-0.29588279304702075,0.36394516836609114,-0.05128208028613872,-0.1320383035364932,0.37855173322357655,0.3611179858025194,0.2849139891569364,0.4603795970763517,0.41323165006995083,0.23736093979864398,0.6886826958147656,0.42632182671836116,0.3089411137912605,0.5265248503003483,0.382785354997486,0.2666238450239994,0.5678648669014597,0.10560811645203555,0.1473485300202703,0.137545343920959,0.11685266877037095,0.07005960362149678,0.48991509929492283,0.11177894358070006,368.0,0.2459005233191687,0.28525519321208215,-0.1372159603641112,4.6777257590231285,False,0.8111319436901311,True,0.024456521739130436,59144.78674,60181.01436342593
