obs_code,n_objects,n_obs,bias_ra_arcsec,bias_ra_ci_low,bias_ra_ci_high,bias_dec_arcsec,bias_dec_ci_low,bias_dec_ci_high,bias_ra_median_arcsec,bias_ra_median_ci_low,bias_ra_median_ci_high,bias_dec_median_arcsec,bias_dec_median_ci_low,bias_dec_median_ci_high,rms_ra_arcsec,rms_ra_ci_low,rms_ra_ci_high,rms_dec_arcsec,rms_dec_ci_low,rms_dec_ci_high,sem_ra_arcsec,sem_dec_arcsec,chi2_per_obs,bias_significant,sigma_model_source,obs_epoch_start,obs_epoch_end
006,126,1908,-0.08444616620156871,-0.12181830699672262,-0.04811862738699974,0.04918152125347689,-0.002018149243256804,0.10242630014003948,-0.06858127196862274,-0.10681605670100747,-0.03404198198509082,0.04231534522849542,0.007415988236926066,0.07073734054208837,0.3778395963493419,0.34845479087759906,0.4102677765082197,0.3788502422076637,0.3430603624280204,0.4180511451998853,0.019401545777616366,0.026649947375340932,3.0716560538201265,True,,,
010,40,188,0.04004861631550168,-0.4236491885116757,0.45936317848324004,-0.32585826210642976,-0.831401070633031,0.15497037941723613,0.1448471213711795,-0.37385740359909614,0.6213509544350517,-0.02077910842007702,-0.5585169338051699,0.42680460312212176,1.7282667515564047,1.4005927928781412,2.1150243870539156,1.8035773289535917,1.4148335198944275,2.2152327707603336,0.21455844613421107,0.27025969434419433,10.404886424711677,False,,,
012,94,612,-0.06835282218183376,-0.15192643935089514,0.010264304010750206,-0.027819632431847194,-0.10193032466741418,0.04525025804346604,-0.008179263113390204,-0.057992791190502935,0.055462054067683696,-0.014702387965881414,-0.07718235387077499,0.025337545975148146,0.5521536063019535,0.48611011470004745,0.6197776011204806,0.4834002704059798,0.42853993756659714,0.5447734012658701,0.044479354490217685,0.0370270306826866,2.1819234438770714,False,,,
026,25,112,0.23278965112929328,0.008840252055483331,0.4764706914924789,-0.16374087558798334,-0.40863447886904675,0.04383813026522604,0.08858351399580053,-0.02995789325823919,0.469156571327221,-0.09325328390445975,-0.31184213951496176,0.09211952357843778,0.581664104016211,0.38865945193747875,0.7842167950941988,0.5124043430103451,0.35757275612456657,0.6952224176663243,0.12356566091202212,0.11571118391744743,2.2834450568099656,True,,,
033,1520,9257,-0.009654122183070261,-0.022410553354628663,0.002430917307723669,0.017819549506885312,0.005559135068074721,0.02916515159638513,-0.007086774252454507,-0.017365139076774422,0.004411396427822215,0.03139239422331741,0.02183756477620591,0.04103680299883725,0.28705085965497196,0.2784176431939866,0.2955747439782654,0.28190908557632977,0.273639531465707,0.29057658437749784,0.006279648359046,0.0062057179402030226,6.138588791373291,True,,,
046,987,10142,0.03597877379047454,0.009889053235409654,0.06160876350630489,0.16536395926887676,0.1433975137997779,0.18773312352853808,0.021634626443450634,0.000960611369358541,0.051093799081435895,0.17538521952502606,0.15729108840787376,0.19308857561810555,0.5443815315221238,0.527085152401518,0.5630098880444093,0.5353754621102637,0.5177600974234194,0.5526295256494081,0.012725469845924387,0.011620705078066569,2.0448933910658655,True,,,
048,20,263,0.07333193416207304,-0.11982121247037926,0.24505403791948577,0.19900276495391675,0.06948831640356823,0.3465408440901739,0.05874979073700332,-0.07727313814332118,0.15377829741804366,0.07163716345112774,0.01191391497722923,0.36460462046903785,0.6252886030108323,0.5003627977991331,0.7523714367873752,0.5092221161958201,0.39660362618079725,0.6351719297133539,0.0934890882879606,0.07271831691906225,2.2381695979648946,True,,,
049,96,422,-0.05382443029769349,-0.2573473713055423,0.13308741395981416,-0.10208741229038319,-0.2751277300077493,0.07514232877731776,-0.004692181970856003,-0.17865935790899679,0.11620139568534253,0.001490631750034055,-0.14407534015319357,0.09991913821885134,0.7813175778187539,0.6571608136341498,0.9168374759238404,0.7272282482173287,0.6139908635539888,0.8485284617837286,0.0975253601749197,0.08926655338135099,4.580225727077006,False,,,
069,72,2027,-0.06105674159828099,-0.12107121818867589,-0.0033949879693079494,0.1625505954709131,0.10772845523408128,0.2193914723695961,-0.022749409727262672,-0.09438471011904255,0.027644745424752468,0.13715431568499525,0.06851482708563612,0.22992109668202865,0.30586015076737905,0.2668201899869399,0.34541442556168517,0.32793061023156245,0.29258924710174156,0.36626108832539916,0.029208503491770038,0.028200263259948337,1.9611652172849938,True,,,
071,264,2043,0.007971106262509154,-0.07227096443665261,0.08634686214273495,0.15092431732173112,0.0878797529198879,0.21465762803015687,0.011532213155861153,-0.048916904323918695,0.1034675044572049,0.12298567918467285,0.06299329215448068,0.18288024522803425,0.7622556685256225,0.7063495782970708,0.8199539762659288,0.6627062086589165,0.6166545461970285,0.7106582141660397,0.03929370517461385,0.03259526913488178,4.464264388054814,True,,,
